id,applies_to,requires_adj,min_adjacent,atk%,hp%,as%,ms%,rng%
syn_arden_archer_t2,nation_arden,class_archer,2,0.1,0.0,0.2,0.0,0.1
syn_arden_archer_t3,nation_arden,class_archer,3,0.15,0.0,0.4,0.0,0.2
syn_arden_archer_t4,nation_arden,class_archer,4,0.2,0.0,0.6,0.0,0.3
syn_arden_crossbowman_t2,nation_arden,class_crossbowman,2,0.1,0.0,0.1,0.0,0.2
syn_arden_crossbowman_t3,nation_arden,class_crossbowman,3,0.2,0.0,0.15,0.0,0.3
syn_arden_crossbowman_t4,nation_arden,class_crossbowman,4,0.4,0.0,0.2,0.0,0.4
syn_krem_archer_t2,nation_krem,class_archer,2,0.1,0.0,0.2,0.0,0.1
syn_krem_archer_t3,nation_krem,class_archer,3,0.15,0.0,0.4,0.0,0.2
syn_krem_archer_t4,nation_krem,class_archer,4,0.2,0.0,0.6,0.0,0.3
syn_krem_infantry_t2,nation_krem,class_infantry,2,0.05,0.1,0.0,0.0,0.0
syn_krem_infantry_t3,nation_krem,class_infantry,3,0.1,0.12,0.0,0.0,0.0
syn_krem_infantry_t4,nation_krem,class_infantry,4,0.2,0.14,0.0,0.0,0.0
syn_krem_infantry_t5,nation_krem,class_infantry,5,0.35,0.16,0.0,0.0,0.0
syn_nelm_crossbowman_t2,nation_nelm,class_crossbowman,2,0.1,0.0,0.1,0.0,0.2
syn_nelm_crossbowman_t3,nation_nelm,class_crossbowman,3,0.2,0.0,0.15,0.0,0.3
syn_nelm_crossbowman_t4,nation_nelm,class_crossbowman,4,0.4,0.0,0.2,0.0,0.4
syn_nelm_spearman_t2,nation_nelm,class_spearman,2,0.1,0.1,0.0,0.0,0.0
syn_nelm_spearman_t3,nation_nelm,class_spearman,3,0.2,0.11,0.0,0.0,0.0
syn_nelm_spearman_t4,nation_nelm,class_spearman,4,0.3,0.12,0.0,0.0,0.0
syn_nelm_spearman_t5,nation_nelm,class_spearman,5,0.4,0.13,0.0,0.0,0.0
syn_ven_infantry_t2,nation_ven,class_infantry,2,0.05,0.1,0.0,0.0,0.0
syn_ven_infantry_t3,nation_ven,class_infantry,3,0.1,0.12,0.0,0.0,0.0
syn_ven_infantry_t4,nation_ven,class_infantry,4,0.2,0.14,0.0,0.0,0.0
syn_ven_infantry_t5,nation_ven,class_infantry,5,0.35,0.16,0.0,0.0,0.0
syn_ven_spearman_t2,nation_ven,class_spearman,2,0.1,0.1,0.0,0.0,0.0
syn_ven_spearman_t3,nation_ven,class_spearman,3,0.2,0.11,0.0,0.0,0.0
syn_ven_spearman_t4,nation_ven,class_spearman,4,0.3,0.12,0.0,0.0,0.0
syn_ven_spearman_t5,nation_ven,class_spearman,5,0.4,0.13,0.0,0.0,0.0
