id,display_name,nation,class,type,max_hp,attack,attack_speed,attack_range,move_speed,cost,tier,power
arden_archer_adventurer,아르덴 모험가 궁병,아르덴,궁병,모험가,130.0,9.0,1.2,310.0,130.0,2,1,138.8
arden_archer_mercenary,아르덴 용병 궁병,아르덴,궁병,용병,140.0,12.0,1.1,310.0,125.0,2,2,156.9
arden_archer_soldier,아르덴 군인 궁병,아르덴,궁병,군인,150.0,11.0,1.1,310.0,110.0,2,2,153.6
arden_crossbowman_adventurer,아르덴 모험가 석궁병,아르덴,석궁병,모험가,120.0,18.0,0.75,360.0,115.0,2,1,152.8
arden_crossbowman_mercenary,아르덴 용병 석궁병,아르덴,석궁병,용병,140.0,21.0,0.65,360.0,110.0,3,3,161.4
arden_crossbowman_soldier,아르덴 군인 석궁병,아르덴,석궁병,군인,130.0,20.0,0.65,360.0,95.0,2,2,152.8
krem_archer_adventurer,크렘 모험가 궁병,크렘,궁병,모험가,100.0,10.0,1.3,310.0,140.0,3,3,140.5
krem_archer_mercenary,크렘 용병 궁병,크렘,궁병,용병,110.0,12.0,1.05,300.0,120.0,1,1,140.6
krem_archer_soldier,크렘 군인 궁병,크렘,궁병,군인,120.0,11.0,1.1,300.0,110.0,1,1,141.1
krem_infantry_adventurer,크렘 모험가 보병,크렘,보병,모험가,160.0,13.0,1.15,80.0,135.0,2,2,164.4
krem_infantry_mercenary,크렘 용병 보병,크렘,보병,용병,170.0,16.0,0.95,80.0,120.0,1,1,169.2
krem_infantry_soldier,크렘 군인 보병,크렘,보병,군인,180.0,15.0,1.0,80.0,110.0,1,1,171.5
nelm_crossbowman_adventurer,넬름 모험가 석궁병,넬름,석궁병,모험가,120.0,18.0,0.8,350.0,120.0,2,2,157.9
nelm_crossbowman_mercenary,넬름 용병 석궁병,넬름,석궁병,용병,140.0,21.0,0.6,350.0,105.0,2,2,154.3
nelm_crossbowman_soldier,넬름 군인 석궁병,넬름,석궁병,군인,130.0,20.0,0.65,350.0,95.0,2,2,152.2
nelm_spearman_adventurer,넬름 모험가 창병,넬름,창병,모험가,160.0,13.0,1.1,130.0,135.0,3,3,163.1
nelm_spearman_mercenary,넬름 용병 창병,넬름,창병,용병,180.0,15.0,0.85,120.0,115.0,2,1,160.2
nelm_spearman_soldier,넬름 군인 창병,넬름,창병,군인,200.0,14.0,0.9,120.0,105.0,2,2,166.8
ven_infantry_adventurer,벤 모험가 보병,벤,보병,모험가,160.0,13.0,1.1,80.0,130.0,1,1,160.3
ven_infantry_mercenary,벤 용병 보병,벤,보병,용병,180.0,16.0,0.95,80.0,120.0,2,1,173.2
ven_infantry_soldier,벤 군인 보병,벤,보병,군인,200.0,16.0,1.1,80.0,120.0,3,3,195.6
ven_spearman_adventurer,벤 모험가 창병,벤,창병,모험가,160.0,12.0,1.0,110.0,125.0,1,1,147.8
ven_spearman_mercenary,벤 용병 창병,벤,창병,용병,170.0,15.0,0.85,110.0,115.0,2,1,155.8
ven_spearman_soldier,벤 군인 창병,벤,창병,군인,180.0,14.0,0.95,110.0,110.0,2,2,162.8
